Name,season,duration,description
paddy,kharif,90 to 110 days(june-july),"1. it is kharif crop
2.India is one of the worlds largest producers
of rice and brown rice
3. Rice can be grown on a variety of soils
including silts, loams and gravels
4. It is the agricultural commodity with the
third highest world wide production after
sugarcane and maize
5. Rice provides 20%of the worlds dietary
energy supply
6. Rice crop is produced in tropical climate
7. Rice can be used for oil ,food and
industrial uses
Duration -it may vary depending on growing
condition normally short duration varieties
take 100-120 days medium duration 120 to
140 days long duration 160 days some
varities can be harvested in 60 - 65 days
Season - it is mainly produced during july to
june
I. Kharif july to october
2. Rabi october to march"
soybean,kharif,50 to 145 days,"1. it is kharif crop
2. It is favourably produced in Well -drained,
Loamy Soil
3.Soybean is cultivated in warm and
moist climate and grown in monsoon
season
4.soyabean is used for oil and ediable seeds
5.Soybean is rich source of protein and
minerals, vitamin
6.Soybean is also called soja bean
Duration - The maturity of soybean crop
period ranges from 50 to 145 days
depending on the varieties used
forcultivation.
Season -
Two cropping seasons of soybean Kharif
and spring. In case of Kharif season most
common time of sowing is onset of
monsoon or last week of June to first week
of Jully while spring sowing is done between
15th of February and 15th of March"
sunflower,kharif,90 to 100,"1. it is kharif crop
2. This crop require a cool climate during
germination
3.1t is an oilseed crop
4.Sunflower seeds contain 80 % of Vitamin
E, which helps in lowering the risk of various
heart diseases
5.Sunflower seeds full of protein and
minerals
6.Sunflower can be grown on any type of soil
and also soil having controlled pH range
Duration - The sunflower crop matures in
90-100 days.
Season -
It is planted during july and harvested"
barley,rabi,60 to 70 days,"it is rabi crop
Barley is being grown in different types of
soil like sandy ,laom,black soil
Barley require 2 to 3 irrigation for better yield
Barley is a drought resistant crop
It is one of important cereal crop
Barley has wide adaptability.
Barley is used for both human and animal
consumption
There are three types
Hordenum vulgare
Hordenum distichum
Hordenum irregulare
Duration:- barley takes about 60 to 70 days
to get mature
Season - sowing being undertaken from Oct
to Dec & harvesting from Mar to May."
wheat,rabi,60 to 150 days,"it is rabi crop
The wheat crop needs cool winters and hot
summer
Wheat is one of the most important staple
food crops for humans
it provides about 20% of food energy and
protein
Wheat has wide adaptability.
It can be growntropical and sub tropical
zones
Loam soil is the best for wheat cultivation.
Wheat flour is used in making different foid
items
Duration:- The duration of the vegetative
wheat may vary from 60 to 150 days
Season -
wheat is sown in the month of October to
December and harvesting is done during the
months of February and May."
gram,rabi,90 to 120 days,"it is rabi crop
Gram is one of the major pulses cultivated
and consumed in India
It is also known as Bengal gram or
chickpea.
Chana is a major and cheap source of
protein
Major markets for gram is Mumbai, lndore,
Delhi, Chenai, Kanpur and Hyderabad.
It require proper rainfall and temperature
between 24­C to 30­C
Duration:- it takes 90-120 days, depending
on the variety. Desi varieties are
short duration while kabuli varieties take
relatively longer period to mature
Season - it is mainly sown in
September -November and harvested in
February"
mustard,rabi,90 to 95," Mustard Seed is Rabi crop
It is a cool season crop
There are 2 Varieties of mustard
yellow mustard
Brown mustardor it is also called as oriental
mustard
Mustard is a hardy leaf vegetable
Leaves and leaf stalks are eaten and have a
peppery flavor.
It is highly produced in Rajasthan, Gujarat,
Uttar -Pradesh, West Bengal, Haryana
Mustard is grown in subtropical climate.
Duration:-
Yellow mustard usually mature in 80 to 85
days
oriental types require 90 to 95 days
Season: it is planted October and continues
till December end.Harvesting is done in Mid
February."
safflower,rabi,28 to 42 days,"it is rabi crop
It is commercially cultivated for vegetable
oil
It has flowers that may be red, orange, yellow,
or white.
The dried flowers may be used for a red
textile dye
Safflower requires fairly deep, moisture
retentive and well drained soils
Duration:-
The period from the end of flowering to
maturity is usually 4 week -6 week
Season: it is planted during November -
december and june july"
sugarcane,kharif,12 to 18 months," Sugarcane is grown as a Kharif
Crop.
Sugarcane is the main sources of sugar in
India and it is Included in the cash crops
Rainfall is Good for sugarcane cultivation
Sugarcane can be grown in any soil which
can retain moisture and warm humid
condition.,
Duration - Sugarcane takes about 12 to 18
months to get mature.
season
i) Early: December - January
ii)Mid : February - March
iii) Late:. April - May"
jute,kharif,120 to 140 days,"jute is grown as a Kharif crop
Jute is an important natural fibre and cash
crop
It is grown in hot and moist climate.
There are 2 Types of jute Olitorius and
Capsularis
Jute has been grown in the Bengal area
of India
India and Bangladesh are biggest jute
producer in the world.
raw jute is exported to different subcontinent
areas
Duration:- It takes 4 months to 5 months to
grow or 120 to 140 Days
Season: February"
