District,District
AGRA,AGRA
ALIGARH,ALIGARH
ALLAHABAD,ALLAHABAD
AMBEDKAR NAGAR,AMBEDKAR NAGAR
Amethi,Amethi
AMROHA,AMROHA
AURAIYA,AURAIYA
AZAMGARH,AZAMGARH
BAGHPAT,BAGHPAT
BAHRAICH,BAHRAICH
BALLIA,BALLIA
BALRAMPUR,BALRAMPUR
BANDA,BANDA
BARABANKI,BARABANKI
BAREILLY,BAREILLY
BASTI,BASTI
BHADOHI,BHADOHI
BIJNOR,BIJNOR
BUDAUN,BUDAUN
BULANDSHAHR,BULANDSHAHR
CHANDAULI,CHANDAULI
CHITRAKOOT,CHITRAKOOT
DEORIA,DEORIA
ETAH,ETAH
ETAWAH,ETAWAH
FAIZABAD,FAIZABAD
FARRUKHABAD,FARRUKHABAD
FATEHPUR,FATEHPUR
FIROZABAD,FIROZABAD
GAUTAM BUDDHA NAGAR,GAUTAM BUDDHA NAGAR
GHAZIABAD,GHAZIABAD
GHAZIPUR,GHAZIPUR
GONDA,GONDA
GORAKHPUR,GORAKHPUR
HAMIRPUR,HAMIRPUR
HAPUR,HAPUR
HARDOI,HARDOI
HATHRAS,HATHRAS
JALAUN,JALAUN
JAUNPUR,JAUNPUR
JHANSI,JHANSI
KANNAUJ,KANNAUJ
KANPUR DEHAT,KANPUR DEHAT
KANPUR NAGAR,KANPUR NAGAR
Kasganj,Kasganj
KAUSHAMBI,KAUSHAMBI
KHERI,KHERI
KUSHI NAGAR,KUSHI NAGAR
LALITPUR,LALITPUR
LUCKNOW,LUCKNOW
MAHARAJGANJ,MAHARAJGANJ
MAHOBA,MAHOBA
MAINPURI,MAINPURI
MATHURA,MATHURA
MAU,MAU
MEERUT,MEERUT
MIRZAPUR,MIRZAPUR
MORADABAD,MORADABAD
MUZAFFARNAGAR,MUZAFFARNAGAR
PILIBHIT,PILIBHIT
PRATAPGARH,PRATAPGARH
RAE BARELI,RAE BARELI
RAMPUR,RAMPUR
SAHARANPUR,SAHARANPUR
SAMBHAL,SAMBHAL
SANT KABEER NAGAR,SANT KABEER NAGAR
SHAHJAHANPUR,SHAHJAHANPUR
SHAMLI,SHAMLI
SHRAVASTI,SHRAVASTI
SIDDHARTH NAGAR,SIDDHARTH NAGAR
SITAPUR,SITAPUR
SONBHADRA,SONBHADRA
SULTANPUR,SULTANPUR
UNNAO,UNNAO
VARANASI,VARANASI
